Reporting country,Reference period,Item code,Item name,IORP type,Value,Date of extraction (yyyymmdd)
BE,2022,R0050,Deaths,DC,0.0,20250716
BE,2022,R0060,Commutations,DB,1143.0,20250716
BE,2022,R0060,Commutations,DC,106.0,20250716
BE,2022,R0070,Other exits,DB,33454.0,20250716
BE,2022,R0070,Other exits,DC,76.0,20250716
BE,2022,R0080,New beneficiaries,DB,26448.0,20250716
BE,2022,R0080,New beneficiaries,DC,5.0,20250716
BE,2022,R0090,of which new retired members,DB,4614.0,20250716
BE,2022,R0090,of which new retired members,DC,5.0,20250716
BE,2023,R0008,Active members,DB,1298499.0,20250716
BE,2023,R0008,Active members,DC,25094.0,20250716
BE,2023,R0009,Active members reported by exempted IORPs,DB,,20250716
BE,2023,R0009,Active members reported by exempted IORPs,DC,,20250716
BE,2023,R0010,Active members reported by non-exempted IORPs,DB,1298499.0,20250716
BE,2023,R0010,Active members reported by non-exempted IORPs,DC,25094.0,20250716
BE,2023,R0018,Deferred members,DB,940948.0,20250716
BE,2023,R0018,Deferred members,DC,12118.0,20250716
BE,2023,R0019,Deferred members reported by exempted IORPs,DB,,20250716
BE,2023,R0019,Deferred members reported by exempted IORPs,DC,,20250716
BE,2023,R0020,Deferred members reported by non-exempted IORPs,DB,940948.0,20250716
BE,2023,R0020,Deferred members reported by non-exempted IORPs,DC,12118.0,20250716
BE,2023,R0028,Beneficiaries,DB,236104.0,20250716
BE,2023,R0028,Beneficiaries,DC,22.0,20250716
BE,2023,R0029,Beneficiaries reported by exempted IORPs,DB,,20250716
BE,2023,R0029,Beneficiaries reported by exempted IORPs,DC,,20250716
BE,2023,R0030,Beneficiaries reported by non-exempted IORPs,DB,236104.0,20250716
BE,2023,R0030,Beneficiaries reported by non-exempted IORPs,DC,22.0,20250716
BE,2023,R0040,New members,DB,155571.0,20250716
BE,2023,R0040,New members,DC,5976.0,20250716
BE,2023,R0050,Deaths,DB,3211.0,20250716
BE,2023,R0050,Deaths,DC,3.0,20250716
BE,2023,R0060,Commutations,DB,305.0,20250716
BE,2023,R0060,Commutations,DC,85.0,20250716
BE,2023,R0070,Other exits,DB,40447.0,20250716
BE,2023,R0070,Other exits,DC,140.0,20250716
BE,2023,R0080,New beneficiaries,DB,18314.0,20250716
BE,2023,R0080,New beneficiaries,DC,15.0,20250716
