Reporting country,Reference period,Item code,Item name,IORP type,Value (euro millions),Date of extraction (yyyymmdd)
HR,2023,R0020,Investment expenses,no split available,2.566327,20250716
HR,2023,R0030,Tax expenses,no split available,0.0,20250716
HR,2023,R0040,Other expenses,no split available,0.01566,20250716
HR,2023,R0050,Total expenses,no split available,2.631752,20250716
HR,2024,R0010,Administrative expenses,no split available,0.052294,20250716
HR,2024,R0020,Investment expenses,no split available,2.94984,20250716
HR,2024,R0030,Tax expenses,no split available,0.0,20250716
HR,2024,R0040,Other expenses,no split available,0.020008,20250716
HR,2024,R0050,Total expenses,no split available,3.022142,20250716
IT,2020,R0010,Administrative expenses,DB,1.488,20250716
IT,2020,R0010,Administrative expenses,DC,35.512,20250716
IT,2020,R0020,Investment expenses,DB,12.685,20250716
IT,2020,R0020,Investment expenses,DC,645.315,20250716
IT,2020,R0030,Tax expenses,DB,26.393,20250716
IT,2020,R0030,Tax expenses,DC,845.767,20250716
IT,2020,R0040,Other expenses,DB,0.0,20250716
IT,2020,R0040,Other expenses,DC,0.0,20250716
IT,2020,R0050,Total expenses,DB,40.566,20250716
IT,2020,R0050,Total expenses,DC,1526.594,20250716
IT,2021,R0010,Administrative expenses,DB,9.793554,20250716
IT,2021,R0010,Administrative expenses,DC,141.725031,20250716
IT,2021,R0020,Investment expenses,DB,3.519994,20250716
IT,2021,R0020,Investment expenses,DC,503.584918,20250716
IT,2021,R0030,Tax expenses,DB,36.18742,20250716
IT,2021,R0030,Tax expenses,DC,1343.628264,20250716
IT,2021,R0040,Other expenses,DB,0.520703,20250716
IT,2021,R0040,Other expenses,DC,373.370723,20250716
IT,2021,R0050,Total expenses,DB,50.021671,20250716
IT,2021,R0050,Total expenses,DC,2362.308936,20250716
IT,2022,R0010,Administrative expenses,DB,6.757184,20250716
IT,2022,R0010,Administrative expenses,DC,136.110586,20250716
IT,2022,R0020,Investment expenses,DB,2.626744,20250716
IT,2022,R0020,Investment expenses,DC,454.335449,20250716
IT,2022,R0030,Tax expenses,DB,-43.181702,20250716
IT,2022,R0030,Tax expenses,DC,-2530.488814,20250716
IT,2022,R0040,Other expenses,DB,7.351943,20250716
IT,2022,R0040,Other expenses,DC,103.234328,20250716
IT,2022,R0050,Total expenses,DB,-26.445831,20250716
IT,2022,R0050,Total expenses,DC,-1836.808451,20250716
IT,2023,R0010,Administrative expenses,DB,6.29522,20250716
IT,2023,R0010,Administrative expenses,DC,140.518306,20250716
IT,2023,R0020,Investment expenses,DB,1.248017,20250716
IT,2023,R0020,Investment expenses,DC,506.146951,20250716
IT,2023,R0030,Tax expenses,DB,22.640102,20250716
IT,2023,R0030,Tax expenses,DC,1798.958523,20250716
IT,2023,R0040,Other expenses,DB,7.113234,20250716
IT,2023,R0040,Other expenses,DC,99.849535,20250716
IT,2023,R0050,Total expenses,DB,37.296573,20250716
IT,2023,R0050,Total expenses,DC,2545.473315,20250716
IT,2024,R0010,Administrative expenses,DB,6.193719,20250716
IT,2024,R0010,Administrative expenses,DC,159.122221,20250716
IT,2024,R0020,Investment expenses,DB,1.973783,20250716
IT,2024,R0020,Investment expenses,DC,600.156472,20250716
IT,2024,R0030,Tax expenses,DB,28.761007,20250716
IT,2024,R0030,Tax expenses,DC,1792.866676,20250716
IT,2024,R0040,Other expenses,DB,6.408935,20250716
IT,2024,R0040,Other expenses,DC,84.576008,20250716
IT,2024,R0050,Total expenses,DB,43.337444,20250716
IT,2024,R0050,Total expenses,DC,2636.721377,20250716
LI,2020,R0010,Administrative expenses,no split available,1.512518,20250716
LI,2020,R0020,Investment expenses,no split available,0.662145,20250716
LI,2020,R0030,Tax expenses,no split available,0.11068,20250716
LI,2020,R0040,Other expenses,no split available,16.929741,20250716
LI,2020,R0050,Total expenses,no split available,19.215084,20250716
LI,2021,R0010,Administrative expenses,no split available,1.518724,20250716
LI,2021,R0020,Investment expenses,no split available,0.666652,20250716
LI,2021,R0030,Tax expenses,no split available,0.177509,20250716
LI,2021,R0040,Other expenses,no split available,29.347895,20250716
LI,2021,R0050,Total expenses,no split available,31.71078,20250716
LI,2022,R0010,Administrative expenses,no split available,1.554545,20250716
LI,2022,R0020,Investment expenses,no split available,2.153679,20250716
